Date,Open,High,Low,Close,Volume
1/5/2016,746.45,752,738.64,742.58,"1,950,700"
1/6/2016,730,747.18,728.92,743.62,"1,947,000"
1/7/2016,730.31,738.5,719.06,726.39,"2,963,700"
1/8/2016,731.45,733.23,713,714.47,"2,450,900"
1/11/2016,716.61,718.85,703.54,716.03,"2,090,600"
1/12/2016,721.68,728.75,717.32,726.07,"2,024,500"
1/13/2016,730.85,734.74,698.61,700.56,"2,501,700"
1/14/2016,705.38,721.92,689.1,714.72,"2,225,800"
1/15/2016,692.29,706.74,685.37,694.45,"3,592,400"
1/19/2016,703.3,709.98,693.41,701.79,"2,268,100"
1/20/2016,688.61,706.85,673.26,698.45,"3,445,000"
1/21/2016,702.18,719.19,694.46,706.59,"2,412,200"
1/22/2016,723.6,728.13,720.12,725.25,"2,011,800"
1/25/2016,723.58,729.68,710.01,711.67,"1,711,700"
1/26/2016,713.85,718.28,706.48,713.04,"1,331,700"
1/27/2016,713.67,718.23,694.39,699.99,"2,194,200"
1/28/2016,722.22,733.69,712.35,730.96,"2,676,400"
1/29/2016,731.53,744.99,726.8,742.95,"3,474,300"
2/1/2016,750.46,757.86,743.27,752,"5,139,200"
2/2/2016,784.5,789.87,764.65,764.65,"6,348,100"
2/3/2016,770.22,774.5,720.5,726.95,"6,171,000"
2/4/2016,722.81,727,701.86,708.01,"5,168,700"
2/5/2016,703.87,703.99,680.15,683.57,"5,105,700"
2/8/2016,667.85,684.03,663.06,682.74,"4,247,400"
2/9/2016,672.32,699.9,668.77,678.11,"3,608,900"
2/10/2016,686.86,701.31,682.13,684.12,"2,638,000"
2/11/2016,675,689.35,668.87,683.11,"3,024,000"
2/12/2016,690.26,693.75,678.6,682.4,"2,141,400"
2/16/2016,692.98,698,685.05,691,"2,520,000"
2/17/2016,698.09,709.75,691.38,708.4,"2,492,600"
2/18/2016,710,712.35,696.03,697.35,"1,883,200"
2/19/2016,695.03,703.08,694.05,700.91,"1,589,300"
2/22/2016,707.45,713.24,702.51,706.46,"1,949,800"
2/23/2016,701.45,708.4,693.58,695.85,"2,009,300"
2/24/2016,688.92,700,680.78,699.56,"1,963,600"
2/25/2016,700.01,705.98,690.59,705.75,"1,642,200"
2/26/2016,708.58,713.43,700.86,705.07,"2,243,500"
2/29/2016,700.32,710.89,697.68,697.77,"2,481,100"
3/1/2016,703.62,718.81,699.77,718.81,"2,151,400"
3/2/2016,719,720,712,718.85,"1,629,000"
3/3/2016,718.68,719.45,706.02,712.42,"1,958,000"
3/4/2016,714.99,716.49,706.02,710.89,"1,972,100"
3/7/2016,706.9,708.09,686.9,695.16,"2,985,100"
3/8/2016,688.59,703.79,685.34,693.97,"2,076,300"
3/9/2016,698.47,705.68,694,705.24,"1,421,500"
3/10/2016,708.12,716.44,703.36,712.82,"2,833,500"
3/11/2016,720,726.92,717.13,726.82,"1,970,800"
3/14/2016,726.81,735.5,725.15,730.49,"1,718,300"
3/15/2016,726.92,732.29,724.77,728.33,"1,721,000"
3/16/2016,726.37,737.47,724.51,736.09,"1,624,400"
3/17/2016,736.45,743.07,736,737.78,"1,860,800"
3/18/2016,741.86,742,731.83,737.6,"2,980,700"
3/21/2016,736.5,742.5,733.52,742.09,"1,836,500"
3/22/2016,737.46,745,737.46,740.75,"1,269,700"
3/23/2016,742.36,745.72,736.15,738.06,"1,432,100"
3/24/2016,732.01,737.75,731,735.3,"1,594,900"
3/28/2016,736.79,738.99,732.5,733.53,"1,301,300"
3/29/2016,734.59,747.25,728.76,744.77,"1,903,800"
3/30/2016,750.1,757.88,748.74,750.53,"1,782,400"
3/31/2016,749.25,750.85,740.94,744.95,"1,718,800"
4/1/2016,738.6,750.34,737,749.91,"1,576,700"
4/4/2016,750.06,752.8,742.43,745.29,"1,134,200"
4/5/2016,738,742.8,735.37,737.8,"1,132,300"
4/6/2016,735.77,746.24,735.56,745.69,"1,053,700"
4/7/2016,745.37,747,736.28,740.28,"1,453,200"
4/8/2016,743.97,745.45,735.55,739.15,"1,290,800"
4/11/2016,743.02,745,736.05,736.1,"1,220,100"
4/12/2016,738,743.83,731.01,743.09,"1,353,000"
4/13/2016,749.16,754.38,744.26,751.72,"1,707,100"
4/14/2016,754.01,757.31,752.71,753.2,"1,135,300"
4/15/2016,753.98,761,752.69,759,"1,809,300"
4/18/2016,760.46,768.05,757.3,766.61,"1,556,000"
4/19/2016,769.51,769.9,749.33,753.93,"2,030,500"
4/20/2016,758,758.13,750.01,752.67,"1,529,200"
4/21/2016,755.38,760.45,749.55,759.14,"3,060,500"
4/22/2016,726.3,736.12,713.61,718.77,"5,951,900"
4/25/2016,716.1,723.93,715.59,723.15,"1,959,200"
4/26/2016,725.42,725.77,703.03,708.14,"2,744,600"
4/27/2016,707.29,708.98,692.36,705.84,"3,098,600"
4/28/2016,708.26,714.17,689.55,691.02,"2,867,300"
4/29/2016,690.7,697.62,689,693.01,"2,487,700"
5/2/2016,697.63,700.64,691,698.21,"1,645,300"
5/3/2016,696.87,697.84,692,692.36,"1,543,800"
5/4/2016,690.49,699.75,689.01,695.7,"1,693,500"
5/5/2016,697.7,702.32,695.72,701.43,"1,683,500"
5/6/2016,698.38,711.86,698.11,711.12,"1,826,100"
5/9/2016,712,718.71,710,712.9,"1,510,300"
5/10/2016,716.75,723.5,715.72,723.18,"1,569,600"
5/11/2016,723.41,724.48,712.8,715.29,"1,692,100"
5/12/2016,717.06,719.25,709,713.31,"1,360,700"
5/13/2016,711.93,716.66,709.26,710.83,"1,314,500"
5/16/2016,709.13,718.48,705.65,716.49,"1,317,100"
5/17/2016,715.99,721.52,704.11,706.23,"2,001,200"
5/18/2016,703.67,711.6,700.63,706.63,"1,766,800"
5/19/2016,702.36,706,696.8,700.32,"1,670,200"
5/20/2016,701.62,714.58,700.52,709.74,"1,828,400"
5/23/2016,706.53,711.48,704.18,704.24,"1,330,700"
5/24/2016,706.86,720.97,706.86,720.09,"1,929,500"
5/25/2016,720.76,727.51,719.71,725.27,"1,629,200"
5/26/2016,722.87,728.33,720.28,724.12,"1,576,300"
5/27/2016,724.01,733.94,724,732.66,"1,974,000"
5/31/2016,731.74,739.73,731.26,735.72,"2,129,500"
6/1/2016,734.53,737.21,730.66,734.15,"1,253,600"
6/2/2016,732.5,733.02,724.17,730.4,"1,341,800"
6/3/2016,729.27,729.49,720.56,722.34,"1,226,300"
6/6/2016,724.91,724.91,714.61,716.55,"1,565,300"
6/7/2016,719.84,721.98,716.55,716.65,"1,336,200"
6/8/2016,723.96,728.57,720.58,728.28,"1,583,700"
6/9/2016,722.87,729.54,722.34,728.58,"988,900"
6/10/2016,719.47,725.89,716.43,719.41,"1,216,400"
6/13/2016,716.51,725.44,716.51,718.36,"1,258,900"
6/14/2016,716.48,722.47,713.12,718.27,"1,306,100"
6/15/2016,719,722.98,717.31,718.92,"1,214,500"
6/16/2016,714.91,716.65,703.26,710.36,"1,982,500"
6/17/2016,708.65,708.82,688.45,691.72,"3,402,400"
6/20/2016,698.77,702.48,693.41,693.71,"2,082,500"
6/21/2016,698.4,702.77,692.01,695.94,"1,465,600"
6/22/2016,699.06,700.86,693.08,697.46,"1,184,300"
6/23/2016,697.45,701.95,687,701.87,"2,171,400"
6/24/2016,675.17,689.4,673.45,675.22,"4,449,000"
6/27/2016,671,672.3,663.28,668.26,"2,629,000"
6/28/2016,678.97,680.33,673,680.04,"2,173,800"
6/29/2016,683,687.43,681.41,684.11,"1,932,600"
6/30/2016,685.47,692.32,683.65,692.1,"1,597,700"
7/1/2016,692.2,700.65,692.13,699.21,"1,344,700"
7/5/2016,696.06,696.94,688.88,694.95,"1,462,600"
7/6/2016,689.98,701.68,689.09,697.77,"1,411,900"
7/7/2016,698.08,698.2,688.22,695.36,"1,304,200"
7/8/2016,699.5,705.71,696.43,705.63,"1,575,200"
7/11/2016,708.05,716.51,707.24,715.09,"1,111,800"
7/12/2016,719.12,722.94,715.91,720.64,"1,336,900"
7/13/2016,723.62,724,716.85,716.98,"935,900"
7/14/2016,721.58,722.21,718.03,720.95,"950,200"
7/15/2016,725.73,725.74,719.05,719.85,"1,279,300"
7/18/2016,722.71,736.13,721.19,733.78,"1,295,500"
7/19/2016,729.89,736.99,729,736.96,"1,227,500"
7/20/2016,737.33,742.13,737.1,741.19,"1,289,700"
7/21/2016,740.36,741.69,735.83,738.63,"1,026,300"
7/22/2016,741.86,743.24,736.56,742.74,"1,259,800"
